"ID","Name","Type","Rarity"
"Body.SportsCar.AA","Ace","Car","None"
"Body.SportsCar.AkumaT1","Nissan Fairlady Z","Car","Nissan"
"Body.SportsCar.AkumaT2","Nissan Fairlady Z RLE","Car","Nissan"
"Body.SportsCar.Alokin","Ford Mustang GTD","Car","Ford"
"Body.SportsCar.Amber","007's Aston Martin DB5","Car","Aston Martin"
"Body.SportsCar.Arrow","McLaren P1","Car","McLaren"
"Body.SportsCar.Atoyot","NASCAR Toyota Camry","Car","None"
"Body.SportsCar.Backfire","Backfire","Car","None"
"Body.SportsCar.Bawu","Porsche 918 Spyder","Car","Porsche"
"Body.SportsCar.Berry","The Dark Knight's Tumbler","Car","DC"
"Body.SportsCar.BoberT1","BMW 1 Series","Car","BMW"
"Body.SportsCar.BoberT2","BMW 1 Series RLE","Car","BMW"
"Body.SportsCar.Brick","Tygris","Car","None"
"Body.SportsCar.Bullet","McLaren Senna","Car","McLaren"
"Body.SportsCar.BurnishedRaven","?INT?Product","Car","None"
"Body.SportsCar.ButterT1","Porsche 911 Turbo","Car","Porsche"
"Body.SportsCar.ButterT2","Porsche 911 Turbo RLE","Car","Porsche"
"Body.SportsCar.Carrot","Diestro","Car","None"
"Body.SportsCar.Challah","Fast & Furious Dodge Charger","Car","Dodge"
"Body.SportsCar.Charged","Ice Charger","Car","Dodge"
"Body.SportsCar.Chrisp","BMW M3 (E30)","Car","BMW"
"Body.SportsCar.Claw","Fast & Furious Dodge Charger SRT Hellcat","Car","Dodge"
"Body.SportsCar.Crikey","Breakout X","Car","None"
"Body.SportsCar.Cured","Formula 1 2022","Car","None"
"Body.SportsCar.Cutie","Chevrolet Corvette Stingray","Car","Chevrolet"
"Body.SportsCar.Darkcar","Batmobile (2016)","Car","DC"
"Body.SportsCar.DurianT1","Chikara","Car","None"
"Body.SportsCar.DurianT2","Chikara G1","Car","None"
"Body.SportsCar.DurianT3","Chikara GXT","Car","None"
"Body.SportsCar.Eagle","Chevrolet Corvette ZR1","Car","Chevrolet"
"Body.SportsCar.Econ","Mercedes-Benz CLA","Car","Mercedes"
"Body.SportsCar.Edison","Dodge Charger Daytona Scat Pack","Car","Dodge"
"Body.SportsCar.Eggplant","Batmobile (1989)","Car","DC"
"Body.SportsCar.Endo","Endo","Car","None"
"Body.SportsCar.EnspierT1","Artemis","Car","None"
"Body.SportsCar.EnspierT2","Artemis G1","Car","None"
"Body.SportsCar.EnspierT3","Artemis GXT","Car","None"
"Body.SportsCar.FancyFlake","?INT?Product","Car","None"
"Body.SportsCar.Feline","K.I.T.T","Car","None"
"Body.SportsCar.Flatbread","Mantis","Car","None"
"Body.SportsCar.Focaccia","Animus GP","Car","None"
"Body.SportsCar.Force","Breakout","Car","None"
"Body.SportsCar.Fracture","Formula 1 2021","Car","None"
"Body.SportsCar.Fuego","Fast & Furious Pontiac Fiero","Car","Ponitac"
"Body.SportsCar.Futura","Azura","Car","None"
"Body.SportsCar.Garage","Ferrari F40","Car","Ferrari"
"Body.SportsCar.GhostRebel","Scorpion","Car","None"
"Body.SportsCar.Grain","Fennec","Car","None"
"Body.SportsCar.GreyCar","Back To The Future Time Machine","Car","None"
"Body.SportsCar.Heaven","007's Aston Martin Valhalla","Car","Aston Martin"
"Body.SportsCar.Hero","The Incredibile","Car","None"
